answer,clue
BASTINADO,'beat somebody on the soles of the feet'
KEEL,'walk as if unable to control one\'s movements
BUTYLATE,'introduce the butyl group into a chemical compound'
RIDICULE,'subject to laughter or ridicule
DEMYELINATE,'destroy the myelin sheath of
EXCEED,'be greater in scope or size than some standard
GARTER,'fasten with or as if with a garter'
AMERCE,'punish with an arbitrary penalty'
COORDINATE,'bring order and organization to
PRAY,a saint or an object of worship
EFFEMINISE,or womanly quality or appearance to
INSIST,'be emphatic or resolute and refuse to budge
FOREARM,'arm in advance of a confrontation'
BURROW,'move through by or as by digging
LIVE,'be an inhabitant of or reside in
POOCH,'round one\'s lips as if intending to kiss'
SENTIMENTISE,'act in a sentimental way or indulge in sentimental thoughts or expression'
TRESPASS,'enter unlawfully on someone\'s property
ALTERCATE,'have a disagreement over something
EFFACE,'remove completely from recognition or memory
RECONNOITER,often with the goal of finding something or somebody'
DESEGREGATE,'open (a place) to members of all races and ethnic groups
MANUFACTURE,'put together out of artificial or natural components or parts
GLUTTONISE,'eat a lot and without restraint'
DEFLAGRATE,'burn with great heat and intense light
SERMONISE,'speak as if delivering a sermon
SUBORDINATE,'rank or order as less important or consider of less value
LIKE,'prefer or wish to do something
NEATEN,'put (things or places) in order
OBTUND,'reduce the edge or violence of
SKIMCOAT,'coat with a mixture of gypsum and spackle
DISCOLOUR,often in an undesired manner
CALIBRATE,'make fine adjustments or divide into marked intervals for optimal measuring
UPSET,'disturb the balance or stability of
MADDER,'color a moderate to strong red'
DISSIMULATE,'hide (feelings) from other people'
REEF,'lower and bring partially inboard
HABILITATE,'provide with clothes or put clothes on
DEOXIDISE,or to undergo an increase in the number of electrons'
MOLLIFY,'cause to be more favorably inclined
ASSUME,'take to be the case or to be true
BEHAVE,"but he is really afraid of people""'"
LIQUIDATE,'get rid of (someone who may be a threat) by killing
LINEARIZE,'make linear or get into a linear form
DISBUD,'destroy undeveloped horn buds (of cattle)'
BEDAZE,'overcome as with astonishment or disbelief
COMMINUTE,'reduce to small pieces or particles by pounding or abrading
PARENT,'look after a child until it is an adult
BUTTONHOLE,'detain in conversation by or as if by holding on to the outer garments of
VACCINATE,'perform vaccinations or produce immunity in by inoculation
OUTLINE,'describe roughly or briefly or give the main points or summary of
ENGAGE,'carry out or participate in an activity
VIRILIZE,as through a hormonal imbalance or hormone therapy
ROAM,often in search of food or employment
SUBROGATE,as in the case where an insurance company sues the person who caused an accident for the insured'
DRIVEL,'let saliva drivel from the mouth
DELIST,'remove (a security) from listing at a stock exchange'
DEMONETIZE,'deprive of value for payment
ADULATE,'flatter in an obsequious manner'
ADMEASURE,'determine the quantity of someone\'s share'
ORDAIN,'order by virtue of superior authority
CORRUPT,'corrupt morally or by intemperance or sensuality
RACKETEER,'carry on illegal business activities involving crime'
TAME,'correct by punishment or discipline'
RUBBER,'coat or impregnate with rubber
ENTICE,'provoke someone to do something through (often false or exaggerated) promises or persuasion
CANULATE,'introduce a cannula or tube into
DISAPPOINT,'fail to meet the hopes or expectations of
ANNEAL,or hardness by a process of gradually heating and cooling
CORE,'remove the core or center from
BETHINK,'cause oneself to consider something'
SYNCOPATE,'omit a sound or letter in a word
MASCULINIZE,'give a masculine appearance or character to
ASSAULT,'attack someone physically or emotionally
INCORPORATE,'make into a whole or make part of a whole
ARTERIALIZE,'change venous blood into arterial blood'
ADVANCE,also in the metaphorical sense
EMERGE,"the proprietor emerged from his office""'"
KOWTOW,'try to gain favor by cringing or flattering
UNCURL,'move out of a curled position
FEDERALISE,'enter into a league for a common purpose
DEFEMINISE,'remove the ovaries of (female mammals such as cats)'
PALATALIZE,'pronounce a consonant with the tongue against the palate'
ALERT,'warn or arouse to a sense of danger or call to a state of preparedness
MANUMIT,'free from slavery or servitude'
MARAUD,'raid and rove in search of booty
GROUCH,'show one\'s unhappiness or critical attitude
LIONISE,'assign great social importance to
SYNDICATE,'join together into a syndicate
PORE,'direct one\'s attention on something
SLITHER,'to pass or move unobtrusively or smoothly
DENATURE,'make (alcohol) unfit for drinking without impairing usefulness for other purposes'
WEE,"the cat had made on the expensive rug""'"
IDOLISE,'love unquestioningly and uncritically or to excess
SYPHON,or empty by or as if by a siphon'
SWATTER,'splash and flutter about in or as if in water
SNAFU,'cause to be in a state of complete confusion'
TOAST,'make brown and crisp by heating
MASCULINISE,as through a hormonal imbalance or hormone therapy
PURSUE,'carry out or participate in an activity
CARESS,'touch or stroke lightly in a loving or endearing manner
EARMARK,'give or assign a resource to a particular person or cause
BESEECH,'ask for or request earnestly
BROADSIDE,'collide with the broad side of
DISPARAGE,'express a negative opinion of
CHAFE,'become or make sore by or as if by rubbing'
GEAR,'set the level or character of
DEMO,'give an exhibition of to an interested audience
SMOLDER,'burn slowly and without a flame
NOVELISE,'convert into the form or the style of a novel
HYPOTHECATE,'pledge without delivery or title of possession'
REMAND,'refer (a matter or legal case) to another committee or authority or court for decision'
CAPTION,as of a photograph or a drawing'
PROFFER,'present for acceptance or rejection
PREACHIFY,'speak as if delivering a sermon
SUSPECT,'imagine to be the case or true or probable
PREFACE,'furnish with a preface or introduction
STIFLE,'suppress in order to conceal or hide
BLOAT,'become bloated or swollen or puff up
SITUATE,as if by an instrument or by a survey
LYOPHILISE,or tissue) by freezing in a high vacuum'
SLAY,'kill intentionally and with premeditation
AFFIRM,'establish or strengthen as with new evidence or facts
POPULATE,'be an inhabitant of or reside in
CHEAPEN,'lower the grade of something
POLITICISE,'give a political character to
DEGREASE,'remove grease or oil from (a pan)'
SLOBBER,'let saliva drivel from the mouth
SUBLET,'lease or rent all or part of (a leased or rented property) to another person
GESTURE,express or direct through movement
PREPAY,'pay for something before receiving it'
RILE,'make turbid by stirring up the sediments of'
BARBARISE,'make crude or savage in behavior or speech
BYPASS,'avoid something unpleasant or laborious
APE,'represent in or produce a caricature of
TRANSIT,'cause or enable to pass through
HYDROLIZE,'make a compound react with water and undergo hydrolysis'
STALINIZE,'transform in accordance with Stalin\'s policies
CUMBER,'restrict (someone or something) so as to make free movement difficult'
SATISFISE,'decide on and pursue a course of action satisfying the minimum requirements to achieve a goal
MALVERSATE,'appropriate (as property entrusted to one\'s care) fraudulently to one\'s own use
SNORE,'breathe noisily during one\'s sleep
